년,월,실제_위반_건수,예측_위반_건수,차이,정확도(%)
2023,11,2028,2068.302775753737,40.30277575373702,98.01268364133446
2023,12,3861,3733.5297738712784,-127.4702261287216,96.69851784178395
2024,1,3817,3921.6490330030074,104.64903300300739,97.25834338477843
2024,2,3501,3463.77077659761,-37.229223402389835,98.93661172800942
2024,3,4111,4071.232182570813,-39.767817429186834,99.0326485665486
2024,4,3546,3733.528331323735,187.52833132373507,94.71155298015411
2024,5,3903,3652.9921795879663,-250.00782041203365,93.59447039682209
2024,6,3730,3850.7966571981137,120.79665719811373,96.76148372123019
2024,7,3515,3716.910763451054,201.9107634510542,94.25573930437969
2024,8,3990,3854.912895875825,-135.08710412417486,96.6143582926272
2024,9,3892,3824.5581907210467,-67.44180927895331,98.26716831246266
2024,10,3949,3961.6664632608736,12.66646326087357,99.6792488412035
2024,11,3979,3931.5034783318833,-47.49652166811666,98.80632013902697
2024,12,3511,3696.752216967443,185.75221696744302,94.70942133388085
2025,1,3953,3893.1515761949286,-59.848423805071434,98.48599990374218
2025,2,3404,3312.237254644639,-91.76274535536095,97.30426717522441
2025,3,4030,4034.0510654779546,4.05106547795458,99.89947728342544
2025,4,3784,3704.3691629692444,-79.63083703075563,97.89559098755932
2025,5,3497,3620.7808473782375,123.78084737823747,96.46037039238668
2025,6,3918,3821.140145584004,-96.85985441599587,97.52782403226146
2025,7,3784,3681.473460823247,-102.52653917675298,97.29052486319362
2025,8,3750,3824.3316083231693,74.33160832316935,98.01782377804882
2025,9,3639,3794.2284911516786,155.22849115167855,95.73430911921741
2025,10,3972,3928.3386429031,-43.66135709689979,98.90077147288771
2025,11,2038,2000.4196078805371,-37.580392119462886,98.15601608834824
